Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C4",C0603,2,CC0603KRX7R9BB104,C14663
C3,C0603,1,CL10B223KB8NNNC-22nF,C21122
CN1,CONN-TH_B2B-XH-A-LF-SN,1,B2B-XH-A,C158012
"CN4, CN6",CONN-TH_XT30APB,2,XT30APB,C53065086
R2,R0603,1,0603WAF1501T5E,C22843
U1,ESP32-S3-SuperMini,1,ESP32-C3-SuperMini,
U2,HTSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP,1,DRV8876PWPR,C575551
U3,VQFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,MLX90393SLW-ABA-011-RE,C2649492
U5,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-5.0,C6187
