Designator,Mid X,Mid Y,Rotation,Layer
C1,72.5,-62.3,270.0,bottom
C2,61.5,-65.92,270.0,bottom
C3,61.5,-62.52,270.0,bottom
CN1,54.5,-62.0,90.0,top
CN2,80.0,-62.0,270.0,top
CN3,67.2075,-57.0,0.0,bottom
R1,72.5,-65.57,270.0,bottom
U1,67.0,-65.0,180.0,top
U2,67.0,-64.22,180.0,bottom
U3,67.0,-74.0,180.0,bottom
U4,54.5,-72.3,90.0,top
U5,80.0,-72.3,270.0,top
